customer_id,order_id,product_id,seller_id,price,freight_value,customer_city,customer_state,order_date,discount_amount,extra_feature
cust_3340,order_3340,prod_2,seller_6,66.74,21.51,rio de janeiro,PR,2018-01-03 07:40:00,4.54,
cust_3341,order_3341,prod_37,seller_4,57.29,38.51,sao paulo,PR,2018-01-03 07:41:00,9.42,
cust_3342,order_3342,prod_25,seller_8,40.25,13.62,sao paulo,SP,2018-01-03 07:42:00,1.27,VAL107
cust_3343,order_3343,prod_32,seller_13,38.94,31.98,rio de janeiro,PR,2018-01-03 07:43:00,0.81,VAL715
cust_3344,order_3344,prod_64,seller_8,86.99,38.01,rio de janeiro,SP,2018-01-03 07:44:00,8.75,VAL123
cust_3345,order_3345,prod_51,seller_1,425.46,17.12,curitiba,PR,2018-01-03 07:45:00,57.17,VAL266
cust_3346,order_3346,prod_48,seller_6,415.83,34.51,rio de janeiro,SP,2018-01-03 07:46:00,66.16,
cust_3347,order_3347,prod_44,seller_4,393.74,38.09,sao paulo,SP,2018-01-03 07:47:00,46.43,VAL876
cust_3348,order_3348,prod_64,seller_8,311.21,10.28,sao paulo,PR,2018-01-03 07:48:00,48.17,
cust_3349,order_3349,prod_68,seller_18,364.51,19.58,curitiba,PR,2018-01-03 07:49:00,28.63,VAL292
cust_3350,order_3350,prod_5,seller_19,371.86,23.28,sao paulo,SP,2018-01-03 07:50:00,2.44,
cust_3351,order_3351,prod_14,seller_19,445.76,39.92,curitiba,RJ,2018-01-03 07:51:00,10.35,VAL180
cust_3352,order_3352,prod_34,seller_3,368.85,30.54,sao paulo,RJ,2018-01-03 07:52:00,2.86,
cust_3353,order_3353,prod_44,seller_10,370.87,25.23,curitiba,RJ,2018-01-03 07:53:00,24.4,
cust_3354,order_3354,prod_99,seller_1,404.0,19.34,curitiba,RJ,2018-01-03 07:54:00,40.04,VAL952
cust_3355,order_3355,prod_89,seller_10,282.61,5.18,rio de janeiro,PR,2018-01-03 07:55:00,20.14,VAL585
cust_3356,order_3356,prod_65,seller_11,114.38,5.91,sao paulo,PR,2018-01-03 07:56:00,12.82,VAL605
cust_3357,order_3357,prod_4,seller_15,51.43,15.82,curitiba,RJ,2018-01-03 07:57:00,4.94,
cust_3358,order_3358,prod_10,seller_7,215.33,10.25,sao paulo,PR,2018-01-03 07:58:00,29.2,
cust_3359,order_3359,prod_46,seller_1,54.93,10.38,rio de janeiro,PR,2018-01-03 07:59:00,7.33,VAL558
cust_3360,order_3360,prod_59,seller_9,92.96,32.12,curitiba,SP,2018-01-03 08:00:00,5.91,
cust_3361,order_3361,prod_66,seller_9,21.68,32.25,curitiba,PR,2018-01-03 08:01:00,1.5,
cust_3362,order_3362,prod_15,seller_12,157.1,7.01,sao paulo,PR,2018-01-03 08:02:00,18.39,
cust_3363,order_3363,prod_88,seller_2,485.3,31.73,curitiba,SP,2018-01-03 08:03:00,57.89,
cust_3364,order_3364,prod_49,seller_12,195.68,11.56,sao paulo,PR,2018-01-03 08:04:00,12.32,
cust_3365,order_3365,prod_59,seller_8,128.04,21.98,curitiba,PR,2018-01-03 08:05:00,8.46,VAL706
cust_3366,order_3366,prod_4,seller_15,207.69,49.54,rio de janeiro,RJ,2018-01-03 08:06:00,28.83,VAL341
cust_3367,order_3367,prod_82,seller_19,157.66,28.49,sao paulo,RJ,2018-01-03 08:07:00,20.41,VAL863
cust_3368,order_3368,prod_54,seller_5,340.2,6.54,rio de janeiro,RJ,2018-01-03 08:08:00,9.19,VAL429
cust_3369,order_3369,prod_23,seller_15,320.89,20.64,sao paulo,PR,2018-01-03 08:09:00,28.31,VAL309
cust_3370,order_3370,prod_32,seller_3,23.4,35.19,curitiba,PR,2018-01-03 08:10:00,4.18,VAL782
cust_3371,order_3371,prod_35,seller_19,260.55,15.11,sao paulo,PR,2018-01-03 08:11:00,1.89,
