call,batch_mean,moving_mean,failures
10,-0.518,-0.439,"{""invalid_json"": 3, ""missing_json"": 1}"
20,-1.0,-0.608,"{""invalid_action"": 11, ""invalid_json"": 1}"
30,-0.55,-0.529,"{""invalid_json"": 2, ""invalid_action"": 1}"
40,-0.755,-0.403,"{""invalid_action"": 9}"
50,-0.45,-0.381,"{""invalid_json"": 1}"
60,-0.55,-0.444,"{""invalid_json"": 3}"
70,-0.4,-0.511,{}
80,-0.755,-0.252,"{""invalid_action"": 8, ""invalid_json"": 1}"
90,-0.133,-0.666,"{""invalid_json"": 1, ""invalid_action"": 1}"
100,-0.265,-0.551,"{""invalid_action"": 3}"
110,-0.368,-0.471,"{""invalid_json"": 1}"
120,-0.4,-0.378,{}
130,-0.737,-0.498,"{""invalid_action"": 10}"
140,-0.15,-0.521,"{""invalid_action"": 2}"
150,-0.368,-0.322,"{""invalid_json"": 1}"
160,-0.183,-0.415,"{""invalid_json"": 2}"
170,-0.4,-0.263,{}
180,-0.95,-0.311,"{""invalid_action"": 10, ""invalid_json"": 1}"
190,-0.868,-0.499,"{""invalid_action"": 10, ""invalid_json"": 1}"
200,-0.4,-0.412,{}
210,-0.45,-0.317,"{""invalid_json"": 1}"
220,-0.02,-0.312,{}
230,-0.575,-0.345,"{""invalid_action"": 5, ""invalid_json"": 2}"
240,-0.4,-0.631,{}
250,-0.46,-0.471,"{""invalid_action"": 6}"
260,-0.45,-0.708,"{""invalid_json"": 1}"
270,-0.45,-0.343,"{""invalid_action"": 1}"
280,-0.02,-0.24,{}
290,-0.4,-0.396,{}
300,-1.0,-0.384,"{""invalid_action"": 12}"
310,-0.02,-0.268,{}
320,-0.4,-0.42,{}
330,-0.318,-0.328,{}
340,-0.4,-0.528,{}
350,-0.183,-0.279,"{""invalid_json"": 2}"
360,-0.542,-0.43,"{""invalid_action"": 6, ""invalid_json"": 1}"
370,-0.787,-0.362,"{""invalid_action"": 8, ""invalid_json"": 2}"
380,-0.45,-0.496,"{""invalid_json"": 1}"
390,-0.4,-0.378,{}
400,-0.4,-0.32,{}
410,-0.02,-0.302,{}
420,-0.4,-0.463,{}
430,-0.33,-0.264,"{""invalid_action"": 4}"
440,-0.45,-0.272,"{""invalid_json"": 1}"
450,-0.45,-0.493,"{""invalid_json"": 1}"
460,-0.02,-0.24,{}
470,-0.475,-0.283,"{""invalid_action"": 6, ""invalid_json"": 1}"
480,-0.02,-0.131,{}
490,-0.55,-0.462,"{""invalid_action"": 3}"
500,-0.065,-0.494,"{""invalid_action"": 3}"
510,-0.232,-0.408,"{""invalid_action"": 2, ""invalid_json"": 1}"
520,-0.575,-0.42,"{""invalid_action"": 7}"
530,-0.4,-0.327,{}
540,-0.02,-0.345,{}
550,-0.102,-0.237,"{""missing_json"": 1}"
560,-0.45,-0.27,"{""missing_json"": 1}"
570,-1.0,-0.467,"{""invalid_action"": 11, ""invalid_json"": 1}"
580,-0.4,-0.401,{}
590,-1.333,-0.451,"{""invalid_action"": 11}"
600,-0.45,-0.462,"{""invalid_json"": 1}"
